State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,National,National Percent
Substantiated,12026,3575,13531,8898,68348,13127,8659,1265,2017,34644,10341,1374,1928,37767,24932,13761,3132,22434,8783,4791,4877,27984,19938,7089,10239,4868,3965,2937,5313,1233,5340,9373,78051,5741,1868,20069,15993,14764,5017,4980,3438,19747,1617,9279,66259,11189,945,6345,4887,7171,4791,1132,681772,16
Indicated,,,74,,,,,,,,,,,,,,,,,,3388,,15696,,,,40,,,,,,,,,7893,,,,27,,,,858,,,,,,,,,27976,0.7
Alternative Response,,,,8512,,13257,,,2752,,66636,,,,,11753,,,,,18597,,,26432,,55173,,1098,958,,,,14544,92129,,58326,1488,,,,,21337,,61351,43251,,1522,40687,36033,,6591,4568,586995,13.8
Unsubstantiated,29627,14657,50850,28417,291083,28783,12958,8810,4833,229788,52459,3270,15051,104809,180534,28803,41017,67517,19805,12590,8773,28929,126898,10127,36997,21364,14298,17019,18698,12349,89660,24538,176530,17091,5478,47642,43926,46363,36934,7130,7590,46812,2766,34280,176925,18554,2802,8388,19936,37406,30657,332,2402853,56.5
Intentionally False,,,,,,,,,,,,,918,298,,,,,,,,,24,,,,,,,,,,,,,,,,,105,,,,,,37,17,,53,,,,1452,0
Closed With No Finding,1527,1550,1740,1425,,,,2881,193,,,,,,,,468,1575,1743,,,,1483,1933,1512,2632,1129,581,40,1826,,,,17,,4095,4912,,,1040,209,,170,7679,2568,1649,,39,2355,4732,,,53703,1.3
No Alleged Maltreatment,,,35054,21055,57766,,,1104,5439,85479,67188,,,54096,,,,,1,3112,,20203,46716,,,,71,9471,9790,,,,2943,,,,,,,2453,,19942,,,,,,518,,10710,,,453111,10.6
Other,,18,,,,,,,,,,,,,,,,4314,,,,11577,,,,438,100,,,,,,1,662,,,,6710,,,,,,2,18785,,,,,,,,42607,1
Unknown,71,,,,8,207,,,,2222,,25,,,,18,,,,,,,,,,28,8,,,1,,,,8,,,,1,,,,260,,63,2530,,,4,,23,,,5477,0.1
Total Children,43251,19800,101249,68307,417205,55374,21617,14060,15234,352133,196624,4669,17897,196970,205466,54335,44617,95840,30332,20493,35635,88693,210755,45581,48748,84503,19611,31106,34799,15409,95000,33911,272069,115648,7346,138025,66319,67838,41951,15735,11237,108098,4553,113512,310318,31429,5286,55981,63264,60042,42039,6032,4255946,100
